time,seconds_elapsed,z,y,x
1761430061573599000,0.069598876953125,0.518145337459445,0.6163599933002144,0.09145020320713519
1761430061593543200,0.089543212890625,0.5286491958171129,0.5110781755521894,0.28808957744278013
1761430061613487900,0.10948779296875,0.3176812173038721,0.0010894026719033716,0.664144803912565
1761430061633433000,0.12943310546875,0.25081249764561653,-0.24314956180229783,0.867527076537162
1761430061653377000,0.149376953125,0.4186766629695892,-0.7033642499491572,0.3921261809026822
1761430061673322000,0.169322021484375,0.47711190080344673,-0.8046502029940485,0.6315584392149001
1761430061693267200,0.18926708984375,0.09982640188634395,-0.02479790277853608,0.6942636825181543
1761430061713211100,0.209211181640625,-0.08651274680495262,-0.05533858699277043,0.3801398289022967
1761430061733155800,0.22915576171875,0.36910979124605653,-0.48021498138532037,0.2022546568341553
1761430061753101000,0.24910107421875,0.5292547604948282,-0.9281289178203791,0.09812065741438418
1761430061773045000,0.269044921875,0.12056406948864459,-1.0205599487584083,0.07863711805902421
1761430061792990000,0.288989990234375,-0.4460749575048685,-0.8403050153516233,-0.12584003713019193
1761430061812935200,0.30893505859375,-0.4972194538086652,-1.272534256725013,0.11839585860408842
1761430061832879000,0.328879150390625,0.4625742568850517,-1.3119612810976802,-0.08853490028232336
1761430061852824000,0.348823974609375,0.7544085007488727,-1.28929746773839,-0.16760544132255017
1761430061872769000,0.36876904296875,0.22166998979151248,-0.9354149101100862,-0.03439326798915863
1761430061892713000,0.388712890625,-0.4409796801924705,-0.34920141407474875,0.017137085827067494
1761430061912658000,0.408657958984375,-0.7502198168873786,-0.18697905403003096,0.19704349805712698
1761430061932603100,0.42860302734375,-0.9332184229791164,-0.08507979139238596,0.156312697609514
1761430061952547000,0.448547119140625,-1.0901198802620171,0.10453976720906794,-0.01273095982261002
1761430061972492000,0.468491943359375,-0.7008464219093322,0.1864677435070276,0.05117649887725711
1761430061992437200,0.488437255859375,-0.04738602055311203,0.14926058714091778,0.06320946649834513
1761430062012381200,0.508381103515625,0.37794074795544147,0.13979557031169532,-0.010545724738016723
1761430062032326000,0.528325927734375,0.2813917603045702,0.2247275507312268,-0.27967129318751394
1761430062052271000,0.54827099609375,-0.06297346578538418,0.18661935387216508,-0.5382220569349825
