time,seconds_elapsed,z,y,x
1761507119015043600,0.091043701171875,0.7094348020344973,0.02573532975912094,-0.1387814248330891
1761507119035199500,0.111199462890625,1.7846236551463603,1.1169494349986313,-0.29919731997773047
1761507119055356400,0.1313564453125,0.9848550867140292,0.8311684998244047,-0.36525925329774617
1761507119075512300,0.15151220703125,-0.11521510967612265,0.10985825881808996,0.2424959201991558
1761507119095669500,0.17166943359375,0.61642158729434,-0.19717676904797554,0.8772342315591871
1761507119115826700,0.19182666015625,1.1646674639850854,0.17131576708257198,-0.2460977440834045
1761507119135982600,0.211982666015625,-0.29438100573718545,-0.15922142466306685,-0.3352982686676085
1761507119156139300,0.23213916015625,-0.6810363905459642,-1.4132014953047036,-0.32207974452376364
1761507119176296400,0.25229638671875,2.169080653128028,-1.2344830507501958,-0.4547762964852154
1761507119196452400,0.272452392578125,1.8216864346057176,-0.27528350655734535,-0.3178318778209388
1761507119216609500,0.292609619140625,-0.22400983091592788,-0.467671726154536,0.15459697973281145
1761507119236766500,0.312766357421875,-0.030520810469985008,-1.4311110998742282,1.361180216166377
1761507119256922400,0.33292236328125,0.15759703833162783,-2.358368276361376,2.198371921803057
1761507119277079600,0.35307958984375,0.38478549928367134,-2.591968504051864,1.2862367649935185
1761507119297235500,0.3732353515625,1.09317342261374,-0.5084105637781322,0.06725421184450388
1761507119317392600,0.393392578125,0.8950234246194362,-0.08997033991292118,-0.4898761053085327
1761507119337549600,0.413549560546875,1.304657533955574,-0.9626628363892435,-0.7308087947789579
1761507119357705500,0.43370556640625,1.2987842580080031,-0.6420977342121302,-0.7021766475997865
1761507119377862400,0.4538623046875,1.6508868003517387,0.2129891090773046,-0.2042928115982562
1761507119398019600,0.47401953125,1.7439257340550423,0.38433614808097477,-0.3151828246168792
1761507119418175500,0.494175537109375,2.0355074644625186,0.3365660966463387,-0.3495534423828125
1761507119438332700,0.514332763671875,0.8631056068331002,-0.38361148706823583,-0.7583516123514622
1761507119458489300,0.5344892578125,0.6665683047324419,-0.10588877066522837,-0.9887287132769822
1761507119478645500,0.5546455078125,-4.2455081569999455,2.1122632257543503,-0.2556584763720631
1761507119498802400,0.574802490234375,-9.816582195949554,2.8173253656625747,-1.3225401043877005
1761507119518959600,0.594959716796875,-16.361997526383398,0.9385625604860484,-0.7447572406325489
1761507119539115500,0.615115478515625,-16.425385418188572,1.195829933359474,0.3554687308412045
1761507119559272400,0.6352724609375,-12.377809817039966,1.646722081887722,0.3205465436071157
1761507119579428400,0.655428466796875,-10.03164416577816,1.8969683239527046,2.0309888179942965
1761507119599585500,0.67558544921875,-7.502910701057314,1.4386670682117342,1.5824135681062936
1761507119619742500,0.695742431640625,-3.432648051804304,0.50873628860116,3.472704752382636
1761507119639898600,0.715898681640625,-0.7547539531856775,-4.071826537568867,2.6729595648258924
1761507119660055300,0.73605517578125,3.1405881824910638,-4.661212233899533,2.050054606861621
1761507119680212500,0.75621240234375,5.20398201726675,1.3341042854532599,0.8883801872126758
1761507119700368400,0.776368408203125,7.10265173830986,1.3877302233092486,0.1809886910414323
1761507119720525600,0.796525634765625,8.867428537213803,1.3685589282408357,-0.7011722197975963
1761507119740682500,0.8166826171875,9.594145897960662,1.2399964073441923,-1.1578555920131504
1761507119760838400,0.83683837890625,10.23131216711998,1.9719732960544525,-1.1506643653348088
1761507119780995600,0.85699560546875,10.140419013273716,1.0752562192596495,-0.7222740445371717
1761507119801152500,0.877152587890625,9.684038934853673,0.36909167106747626,-0.6731107121132314
1761507119821308400,0.897308349609375,8.283676462855935,0.07136983046978712,-0.786311194031313
1761507119841465600,0.917465576171875,7.371859139823913,0.5151584306031465,-0.9942807944461702
1761507119861621500,0.93762158203125,6.625122488877177,0.6620671939209103,-1.171122923734784
1761507119881779000,0.957779052734375,6.250976457029581,-0.047917350950837136,-1.9578584075927734
1761507119901936000,0.97793603515625,5.8316737711161375,0.008138809726759792,-1.6655260049484668
1761507119922092000,0.998092041015625,4.873545363286137,0.27393603747114537,-1.2758667621485889
1761507119942249000,1.0182490234375,4.231095016244054,0.2495675390858203,-0.7375599495396018
1761507119962406000,1.038406005859375,1.8648440238088368,-0.7164566634953021,0.7257448624528944
1761507119982562000,1.05856201171875,-2.9449276632249353,-2.0369335517428815,1.9422056420393288
1761507120002719000,1.078718994140625,-10.788497137069701,-1.47559277728796,3.1281641697257756
1761507120022876000,1.0988759765625,-12.20154139598608,-4.251867170637846,3.9246146996513005
1761507120043031800,1.11903173828125,-17.498368870210648,-3.051546501730382,4.7850534253627055
1761507120063189000,1.13918896484375,-19.27904583355784,-1.3545228041037916,4.417346194390952
1761507120083346000,1.159345947265625,-19.553178416514395,-1.0732292434766888,4.958851656910777
1761507120103502000,1.179502197265625,-16.9424207485795,-0.3824059106707573,3.556218025110662
1761507120123659000,1.199658935546875,-12.748811705642938,0.6974503497302532,1.3233555124238132
1761507120143816000,1.21981591796875,-6.360102602180838,-0.07977408619970083,0.9715687580309808
1761507120163971800,1.239971923828125,-0.12671031715869902,-0.9685992407009005,0.5749889221876859
1761507120184129000,1.26012890625,4.049733655965328,-1.5442325982719658,-0.03652940323501825
1761507120204285000,1.280284912109375,6.688184801989793,-0.518641304282844,-1.3089904485933481
1761507120224442000,1.300442138671875,8.16839121055305,1.1500462334364652,-2.2180517509154973
1761507120244599000,1.32059912109375,10.127919597184658,2.3940686814263463,-3.4492467199057337
1761507120264755000,1.3407548828125,11.437533876764773,3.570576220808923,-3.854648306238651
1761507120284911900,1.360911865234375,12.20036533794403,2.857244995857775,-2.750397024771571
